prolificPID,recID,questionNumber,response,created_at
5f90c1832cf6481b25307b46,5,2,3,2023-06-13T20:14:04Z
5f90c1832cf6481b25307b46,5,3,3,2023-06-13T20:14:04Z
5f90c1832cf6481b25307b46,5,4,4,2023-06-13T20:14:04Z
5f90c1832cf6481b25307b46,5,5,3,2023-06-13T20:14:04Z
5d824f2260823800018471c7,0,1,true,2023-06-13T20:14:12Z
5d824f2260823800018471c7,0,2,3,2023-06-13T20:14:12Z
5d824f2260823800018471c7,0,3,4,2023-06-13T20:14:12Z
5d824f2260823800018471c7,0,4,4,2023-06-13T20:14:12Z
5d824f2260823800018471c7,0,5,5,2023-06-13T20:14:12Z
5d824f2260823800018471c7,1,1,false,2023-06-13T20:14:12Z
5d824f2260823800018471c7,1,2,3,2023-06-13T20:14:12Z
5d824f2260823800018471c7,1,3,3,2023-06-13T20:14:12Z
5d824f2260823800018471c7,1,4,2,2023-06-13T20:14:12Z
5d824f2260823800018471c7,1,5,2,2023-06-13T20:14:12Z
5d824f2260823800018471c7,2,1,false,2023-06-13T20:14:12Z
5d824f2260823800018471c7,2,2,2,2023-06-13T20:14:12Z
5d824f2260823800018471c7,2,3,2,2023-06-13T20:14:12Z
5d824f2260823800018471c7,2,4,1,2023-06-13T20:14:12Z
5d824f2260823800018471c7,2,5,1,2023-06-13T20:14:12Z
5d824f2260823800018471c7,3,1,false,2023-06-13T20:14:12Z
5d824f2260823800018471c7,3,2,3,2023-06-13T20:14:12Z
5d824f2260823800018471c7,3,3,2,2023-06-13T20:14:12Z
5d824f2260823800018471c7,3,4,2,2023-06-13T20:14:12Z
5d824f2260823800018471c7,3,5,2,2023-06-13T20:14:12Z
5d824f2260823800018471c7,4,1,true,2023-06-13T20:14:12Z
5d824f2260823800018471c7,4,2,4,2023-06-13T20:14:12Z
5d824f2260823800018471c7,4,3,4,2023-06-13T20:14:12Z
5d824f2260823800018471c7,4,4,4,2023-06-13T20:14:12Z
5d824f2260823800018471c7,4,5,4,2023-06-13T20:14:12Z
5d824f2260823800018471c7,5,1,true,2023-06-13T20:14:12Z
5d824f2260823800018471c7,5,2,1,2023-06-13T20:14:12Z
5d824f2260823800018471c7,5,3,2,2023-06-13T20:14:12Z
5d824f2260823800018471c7,5,4,2,2023-06-13T20:14:12Z
5d824f2260823800018471c7,5,5,2,2023-06-13T20:14:12Z
642b9e0da2054656ac9592d2,0,1,true,2023-06-13T20:15:02Z
642b9e0da2054656ac9592d2,0,2,5,2023-06-13T20:15:03Z
642b9e0da2054656ac9592d2,0,3,5,2023-06-13T20:15:03Z
642b9e0da2054656ac9592d2,0,4,4,2023-06-13T20:15:03Z
642b9e0da2054656ac9592d2,0,5,4,2023-06-13T20:15:03Z
642b9e0da2054656ac9592d2,1,1,true,2023-06-13T20:15:03Z
642b9e0da2054656ac9592d2,1,2,4,2023-06-13T20:15:03Z
642b9e0da2054656ac9592d2,1,3,4,2023-06-13T20:15:03Z
642b9e0da2054656ac9592d2,1,4,4,2023-06-13T20:15:03Z
642b9e0da2054656ac9592d2,1,5,4,2023-06-13T20:15:03Z
642b9e0da2054656ac9592d2,2,1,false,2023-06-13T20:15:03Z
642b9e0da2054656ac9592d2,2,2,3,2023-06-13T20:15:03Z
642b9e0da2054656ac9592d2,2,3,3,2023-06-13T20:15:03Z
642b9e0da2054656ac9592d2,2,4,3,2023-06-13T20:15:03Z
642b9e0da2054656ac9592d2,2,5,3,2023-06-13T20:15:03Z
642b9e0da2054656ac9592d2,3,1,true,2023-06-13T20:15:03Z
642b9e0da2054656ac9592d2,3,2,5,2023-06-13T20:15:03Z
642b9e0da2054656ac9592d2,3,3,5,2023-06-13T20:15:03Z
